交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,多头出场,2018-05-09 08:00,平多,0.3032,29691,9999.9288,-1007.12,-10.07,256.28,2.56,-1067.94,-10.67,-1007.12,-10.07
1,多头进场,2018-05-08 00:00,开多,0.3368,29691,9999.9288,-1007.12,-10.07,256.28,2.56,-1067.94,-10.67,-1007.12,-10.07
2,空头出场,2018-05-19 12:00,平空-止盈,0.2366,34340,9999.808,1865.9,18.65,2082.87,20.82,-83.98,-0.84,858.78,8.59
2,空头进场,2018-05-11 04:00,开空,0.2912,34340,9999.808,1865.9,18.65,2082.87,20.82,-83.98,-0.84,858.78,8.59
3,空头出场,2018-06-10 08:00,平空-止盈,0.1888,47619,9999.99,1000.03,10.00,1028.33,10.28,-557.38,-5.57,1858.81,18.59
3,空头进场,2018-06-04 16:00,开空,0.21,47619,9999.99,1000.03,10.00,1028.33,10.28,-557.38,-5.57,1858.81,18.59
4,空头出场,2018-07-15 20:00,平空-EMA,0.1439,71174,9999.947,-252.11,-2.52,1311.72,13.11,-681.15,-6.81,1606.7,16.07
4,空头进场,2018-07-06 12:00,开空,0.1405,71174,9999.947,-252.11,-2.52,1311.72,13.11,-681.15,-6.81,1606.7,16.07
5,多头出场,2018-07-28 20:00,平多,0.1608,65746,9999.9666,561.7,5.61,2947,29.46,-156.22,-1.56,2168.4,21.68
5,多头进场,2018-07-16 16:00,开多,0.1521,65746,9999.9666,561.7,5.61,2947,29.46,-156.22,-1.56,2168.4,21.68
6,空头出场,2018-08-02 16:00,平空-止盈,0.1339,64935,9999.99,1295.85,12.95,1339.15,13.38,-121.88,-1.22,3464.25,34.64
6,空头进场,2018-07-31 00:00,开空,0.154,64935,9999.99,1295.85,12.95,1339.15,13.38,-121.88,-1.22,3464.25,34.64
7,空头出场,2018-09-01 08:00,平空-EMA,0.1049,102669,9999.9606,-780.4,-7.80,77.14,0.77,-857.15,-8.57,2683.85,26.84
7,空头进场,2018-08-30 16:00,开空,0.0974,102669,9999.9606,-780.4,-7.80,77.14,0.77,-857.15,-8.57,2683.85,26.84
8,多头出场,2018-09-02 16:00,平多,0.1029,91157,9999.9229,-629.56,-6.29,4.12,0.04,-643.1,-6.43,2054.29,20.54
8,多头进场,2018-09-02 00:00,开多,0.1097,91157,9999.9229,-629.56,-6.29,4.12,0.04,-643.1,-6.43,2054.29,20.54
