交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2017-09-27 16:00,平空-EMA,4073,2.57068,9999.970907,-480.64,-4.80,983.32,9.83,-544.69,-5.44,-480.64,-4.81
1,空头进场,2017-09-20 00:00,开空,3890.01,2.57068,9999.970907,-480.64,-4.80,983.32,9.83,-544.69,-5.44,-480.64,-4.81
2,多头出场,2017-09-29 08:00,平多,4032.87,2.38095,9999.99,-407.73,-4.08,233.1,2.33,-595.45,-5.95,-888.37,-8.88
2,多头进场,2017-09-28 08:00,开多,4200,2.38095,9999.99,-407.73,-4.08,233.1,2.33,-595.45,-5.95,-888.37,-8.88
3,多头出场,2017-11-12 08:00,平多,5956.02,2.32558,9999.994,3839.28,38.37,8064.81,80.61,-446.86,-4.47,2950.91,29.51
3,多头进场,2017-09-30 12:00,开多,4300,2.32558,9999.994,3839.28,38.37,8064.81,80.61,-446.86,-4.47,2950.91,29.51
4,多头出场,2017-12-22 12:00,平多,12726.45,1.46733,9999.98601,8659.58,86.55,19046.21,190.37,-100.54,-1.00,11610.49,116.10
4,多头进场,2017-11-15 08:00,开多,6815.09,1.46733,9999.98601,8659.58,86.55,19046.21,190.37,-100.54,-1.00,11610.49,116.10
5,多头出场,2017-12-28 16:00,平多,13578.98,0.63901,9999.86749,-1332.1,-13.31,537.55,5.37,-1601.89,-16.01,10278.39,102.78
5,多头进场,2017-12-26 20:00,开多,15649,0.63901,9999.86749,-1332.1,-13.31,537.55,5.37,-1601.89,-16.01,10278.39,102.78
6,空头出场,2018-01-01 00:00,平空-EMA,13780.16,0.81208,9999.944999,-1201.24,-12.01,453.01,4.53,-1398.54,-13.98,9077.14,90.77
6,空头进场,2017-12-30 20:00,开空,12313.99,0.81208,9999.944999,-1201.24,-12.01,453.01,4.53,-1398.54,-13.98,9077.14,90.77
7,多头出场,2018-01-10 08:00,平多,13964.05,0.65919,9999.9123,-804.55,-8.04,1317.49,13.17,-1559.37,-15.59,8272.59,82.73
7,多头进场,2018-01-03 12:00,开多,15170,0.65919,9999.9123,-804.55,-8.04,1317.49,13.17,-1559.37,-15.59,8272.59,82.73
8,空头出场,2018-01-13 12:00,平空-EMA,14255.09,0.77399,9999.9508,-1043.86,-10.43,1171.46,11.71,-1150.51,-11.50,7228.73,72.29
8,空头进场,2018-01-11 08:00,开空,12920,0.77399,9999.9508,-1043.86,-10.43,1171.46,11.71,-1150.51,-11.50,7228.73,72.29
9,空头出场,2018-01-30 20:00,平空-止盈,10323.02,0.777,9999.90453,1969.91,19.69,2974.71,29.73,-1077.34,-10.77,9198.64,91.99
9,空头进场,2018-01-14 20:00,开空,12869.89,0.777,9999.90453,1969.91,19.69,2974.71,29.73,-1077.34,-10.77,9198.64,91.99
10,多头出场,2018-02-22 16:00,平多,10259.87,0.93214,9999.914027,-446.06,-4.46,981.3,9.81,-612.67,-6.12,8752.57,87.53
10,多头进场,2018-02-17 12:00,开多,10727.91,0.93214,9999.914027,-446.06,-4.46,981.3,9.81,-612.67,-6.12,8752.57,87.53
11,空头出场,2018-02-26 20:00,平空-EMA,10260.92,1.04493,9999.9801,-732.32,-7.32,303.46,3.03,-813.78,-8.13,8020.25,80.20
11,空头进场,2018-02-25 00:00,开空,9570,1.04493,9999.9801,-732.32,-7.32,303.46,3.03,-813.78,-8.13,8020.25,80.20
12,多头出场,2018-03-07 12:00,平多,10510,0.91575,9999.898425,-385.18,-3.85,718.53,7.18,-627.62,-6.27,7635.07,76.35
12,多头进场,2018-02-28 08:00,开多,10919.9,0.91575,9999.898425,-385.18,-3.85,718.53,7.18,-627.62,-6.27,7635.07,76.35
13,空头出场,2018-03-15 08:00,平空-止盈,7870.15,1.01582,9999.914928,1996.26,19.95,2155.83,21.55,-303.51,-3.03,9631.33,96.31
13,空头进场,2018-03-08 00:00,开空,9844.18,1.01582,9999.914928,1996.26,19.95,2155.83,21.55,-303.51,-3.03,9631.33,96.31
14,多头出场,2018-04-18 00:00,平多,7874.01,1.20048,9999.9984,-557.13,-5.57,101.84,1.02,-597.56,-5.97,9074.2,90.74
14,多头进场,2018-04-15 16:00,开多,8330,1.20048,9999.9984,-557.13,-5.57,101.84,1.02,-597.56,-5.97,9074.2,90.74
15,多头出场,2018-05-11 12:00,平多,8723,1.22354,9999.99242,662.61,6.62,2254.88,22.54,-118.79,-1.19,9736.81,97.37
15,多头进场,2018-04-19 04:00,开多,8173,1.22354,9999.99242,662.61,6.62,2254.88,22.54,-118.79,-1.19,9736.81,97.37
16,空头出场,2018-05-23 12:00,平空-止盈,7838,1.16346,9999.915431,871.16,8.71,914.11,9.14,-336.6,-3.36,10607.97,106.08
16,空头进场,2018-05-11 16:00,开空,8594.98,1.16346,9999.915431,871.16,8.71,914.11,9.14,-336.6,-3.36,10607.97,106.08
17,空头出场,2018-07-12 16:00,平空-止盈,6165.76,1.57107,9999.954814,303.27,3.03,356.44,3.56,-81.84,-0.82,10911.24,109.11
17,空头进场,2018-07-10 16:00,开空,6365.06,1.57107,9999.954814,303.27,3.03,356.44,3.56,-81.84,-0.82,10911.24,109.11
18,多头出场,2018-08-03 08:00,平多,7325.91,1.48389,9999.93471,860.47,8.60,2595.92,25.95,-134.04,-1.34,11771.71,117.72
18,多头进场,2018-07-17 08:00,开多,6739,1.48389,9999.93471,860.47,8.60,2595.92,25.95,-134.04,-1.34,11771.71,117.72
19,空头出场,2018-08-08 12:00,平空-止盈,6457.98,1.43236,9999.935398,740.16,7.40,838.4,8.38,-260.76,-2.61,12511.87,125.12
19,空头进场,2018-08-04 20:00,开空,6981.44,1.43236,9999.935398,740.16,7.40,838.4,8.38,-260.76,-2.61,12511.87,125.12
20,多头出场,2018-09-06 04:00,平多,6700,1.44746,9999.980054,-311.85,-3.12,720.7,7.20,-333.05,-3.33,12200.02,122.00
20,多头进场,2018-08-28 04:00,开多,6908.64,1.44746,9999.980054,-311.85,-3.12,720.7,7.20,-333.05,-3.33,12200.02,122.00
21,空头出场,2018-09-09 00:00,平空-止盈,6176.04,1.55169,9999.99034,406.9,4.07,490.89,4.91,-159.27,-1.59,12606.92,126.07
21,空头进场,2018-09-06 08:00,开空,6444.58,1.55169,9999.99034,406.9,4.07,490.89,4.91,-159.27,-1.59,12606.92,126.07
22,多头出场,2018-09-24 16:00,平多,6576.98,1.4795,9999.97009,-279.19,-2.79,113.37,1.13,-294.8,-2.95,12327.73,123.28
22,多头进场,2018-09-22 04:00,开多,6759.02,1.4795,9999.97009,-279.19,-2.79,113.37,1.13,-294.8,-2.95,12327.73,123.28
23,空头出场,2018-09-28 00:00,平空-EMA,6669.36,1.54602,9999.935644,-321.18,-3.21,216.33,2.16,-338.66,-3.38,12006.55,120.07
23,空头进场,2018-09-25 08:00,开空,6468.18,1.54602,9999.935644,-321.18,-3.21,216.33,2.16,-338.66,-3.38,12006.55,120.07
24,多头出场,2018-09-29 08:00,平多,6500.89,1.47297,9999.9786,-434.15,-4.34,0,0.00,-445.4,-4.45,11572.4,115.72
24,多头进场,2018-09-28 12:00,开多,6788.99,1.47297,9999.9786,-434.15,-4.34,0,0.00,-445.4,-4.45,11572.4,115.72
25,空头出场,2018-10-04 08:00,平空-EMA,6598.51,1.54748,9999.955033,-221.21,-2.21,26.31,0.26,-285.67,-2.86,11351.18,113.51
25,空头进场,2018-10-03 08:00,开空,6462.09,1.54748,9999.955033,-221.21,-2.21,26.31,0.26,-285.67,-2.86,11351.18,113.51
26,多头出场,2018-10-10 12:00,平多,6576.98,1.49822,9999.959283,-156.12,-1.56,40.61,0.41,-221.58,-2.21,11195.06,111.95
26,多头进场,2018-10-08 20:00,开多,6674.56,1.49822,9999.959283,-156.12,-1.56,40.61,0.41,-221.58,-2.21,11195.06,111.95
27,空头出场,2018-10-15 12:00,平空-EMA,6860.25,1.57715,9999.951118,-830.1,-8.30,208.74,2.09,-2117.56,-21.17,10364.96,103.65
27,空头进场,2018-10-11 08:00,开空,6340.52,1.57715,9999.951118,-830.1,-8.30,208.74,2.09,-2117.56,-21.17,10364.96,103.65
28,多头出场,2018-10-19 20:00,平多,6572.35,1.43219,9999.951593,-596.8,-5.97,18.95,0.19,-622.65,-6.22,9768.15,97.68
28,多头进场,2018-10-15 16:00,开多,6982.28,1.43219,9999.951593,-596.8,-5.97,18.95,0.19,-622.65,-6.22,9768.15,97.68
29,空头出场,2018-10-30 00:00,平空-止盈,6336.1,1.53966,9999.983924,234.67,2.35,272.03,2.72,-34.62,-0.35,10002.82,100.03
29,空头进场,2018-10-27 20:00,开空,6494.93,1.53966,9999.983924,234.67,2.35,272.03,2.72,-34.62,-0.35,10002.82,100.03
30,多头出场,2018-11-09 00:00,平多,6495.72,1.51975,9999.955,-138.02,-1.38,32.98,0.33,-170.32,-1.70,9864.8,98.65
