交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2017-09-28 00:00,平空-EMA,308.64,35.4609,9999.9738,-955.15,-9.55,1055.28,10.55,-976.27,-9.76,-955.15,-9.55
1,空头进场,2017-09-20 00:00,开空,282,35.4609,9999.9738,-955.15,-9.55,1055.28,10.55,-976.27,-9.76,-955.15,-9.55
2,空头出场,2017-09-30 08:00,平空-EMA,302.01,35.7142,9999.976,-796.46,-7.96,133.93,1.34,-825.36,-8.25,-1751.61,-17.52
2,空头进场,2017-09-29 08:00,开空,280,35.7142,9999.976,-796.46,-7.96,133.93,1.34,-825.36,-8.25,-1751.61,-17.52
3,空头出场,2017-10-06 12:00,平空-EMA,300.29,34.5172,9999.978012,-375.37,-3.75,139.28,1.39,-425.76,-4.26,-2126.99,-21.27
3,空头进场,2017-10-05 08:00,开空,289.71,34.5172,9999.978012,-375.37,-3.75,139.28,1.39,-425.76,-4.26,-2126.99,-21.27
4,多头出场,2017-10-09 20:00,平多,300.01,32.175,9999.99,-356.99,-3.57,242.75,2.43,-449.01,-4.49,-2483.98,-24.84
4,多头进场,2017-10-07 04:00,开多,310.8,32.175,9999.99,-356.99,-3.57,242.75,2.43,-449.01,-4.49,-2483.98,-24.84
5,空头出场,2017-10-10 20:00,平空-EMA,305.42,34.6909,9999.998834,-605.59,-6.05,0,0.00,-662.39,-6.62,-3089.58,-30.90
5,空头进场,2017-10-10 00:00,开空,288.26,34.6909,9999.998834,-605.59,-6.05,0,0.00,-662.39,-6.62,-3089.58,-30.90
6,多头出场,2017-10-18 08:00,平多,305.51,30.4878,9999.9984,-695.33,-6.95,787.68,7.87,-806.52,-8.06,-3784.9,-37.85
6,多头进场,2017-10-13 12:00,开多,328,30.4878,9999.9984,-695.33,-6.95,787.68,7.87,-806.52,-8.06,-3784.9,-37.85
7,空头出场,2017-10-24 16:00,平空-EMA,308.19,33.8432,9999.988736,-440.36,-4.40,782.87,7.82,-496.4,-4.96,-4225.27,-42.25
7,空头进场,2017-10-21 16:00,开空,295.48,33.8432,9999.988736,-440.36,-4.40,782.87,7.82,-496.4,-4.96,-4225.27,-42.25
8,空头出场,2017-10-29 16:00,平空-EMA,304.59,34.132,9999.99336,-406.47,-4.06,93.3,0.93,-517.66,-5.17,-4631.74,-46.32
8,空头进场,2017-10-27 00:00,开空,292.98,34.132,9999.99336,-406.47,-4.06,93.3,0.93,-517.66,-5.17,-4631.74,-46.32
9,空头出场,2017-11-04 04:00,平空-EMA,304.08,34.8419,9999.973719,-605.05,-6.05,422.86,4.23,-701.49,-7.01,-5236.78,-52.37
