交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,多头出场,2020-09-04 04:00,平多,3.51,2304.147,9999.99798,-1921.49,-19.21,1400.53,14.00,-1986.57,-19.86,-1921.49,-19.21
1,多头进场,2020-08-31 08:00,开多,4.34,2304.147,9999.99798,-1921.49,-19.21,1400.53,14.00,-1986.57,-19.86,-1921.49,-19.21
2,空头出场,2020-09-09 20:00,平空-EMA,3.46,4032.258,9999.99984,-3963.59,-39.62,922.42,9.22,-5650.16,-56.47,-5885.07,-58.85
2,空头进场,2020-09-05 16:00,开空,2.48,4032.258,9999.99984,-3963.59,-39.62,922.42,9.22,-5650.16,-56.47,-5885.07,-58.85
3,空头出场,2020-09-25 00:00,平空-EMA,3.16,3412.969,9999.99917,-795.38,-7.95,1940.39,19.39,-1097.15,-10.97,-6680.45,-66.80
3,空头进场,2020-09-16 04:00,开空,2.93,3412.969,9999.99917,-795.38,-7.95,1940.39,19.39,-1097.15,-10.97,-6680.45,-66.80
4,空头出场,2020-10-04 20:00,平空-止盈,2.46,3460.207,9999.99823,1478.63,14.78,1621.3,16.20,-351.02,-3.51,-5201.82,-52.02
4,空头进场,2020-09-30 00:00,开空,2.89,3460.207,9999.99823,1478.63,14.78,1621.3,16.20,-351.02,-3.51,-5201.82,-52.02
5,多头出场,2020-11-13 00:00,平多,1.87,5263.157,9999.9983,-167.82,-1.68,3152.89,31.51,-373.42,-3.73,-5369.63,-53.70
5,多头进场,2020-11-07 04:00,开多,1.9,5263.157,9999.9983,-167.82,-1.68,3152.89,31.51,-373.42,-3.73,-5369.63,-53.70
6,多头出场,2020-11-26 08:00,平多,1.94,4761.904,9999.9984,-771.52,-7.71,1947.38,19.46,-1528.81,-15.28,-6141.16,-61.41
6,多头进场,2020-11-15 12:00,开多,2.1,4761.904,9999.9984,-771.52,-7.71,1947.38,19.46,-1528.81,-15.28,-6141.16,-61.41
7,空头出场,2020-12-01 12:00,平空-EMA,2.12,5464.48,9999.9984,-1595.49,-15.95,596.09,5.96,-1698.99,-16.98,-7736.65,-77.37
7,空头进场,2020-11-26 12:00,开空,1.83,5464.48,9999.9984,-1595.49,-15.95,596.09,5.96,-1698.99,-16.98,-7736.65,-77.37
8,多头出场,2020-12-04 08:00,平多,2.01,4587.155,9999.9979,-789.43,-7.89,224.36,2.24,-784.82,-7.84,-8526.07,-85.26
8,多头进场,2020-12-03 12:00,开多,2.18,4587.155,9999.9979,-789.43,-7.89,224.36,2.24,-784.82,-7.84,-8526.07,-85.26
9,空头出场,2020-12-09 12:00,平空-止盈,1.55,5405.405,9999.99925,1612.43,16.12,1616.62,16.16,-761.76,-7.61,-6913.64,-69.14
9,空头进场,2020-12-05 04:00,开空,1.85,5405.405,9999.99925,1612.43,16.12,1616.62,16.16,-761.76,-7.61,-6913.64,-69.14
10,空头出场,2020-12-23 16:00,平空-止盈,1.32,6097.56,9999.9984,1942.19,19.41,2129.15,21.28,-797.68,-7.97,-4971.45,-49.71
10,空头进场,2020-12-18 20:00,开空,1.64,6097.56,9999.9984,1942.19,19.41,2129.15,21.28,-797.68,-7.97,-4971.45,-49.71
11,多头出场,2021-01-22 04:00,平多,2.99,5780.346,9999.99858,7269.59,72.66,14099.04,140.92,-120.61,-1.21,2298.15,22.98
11,多头进场,2021-01-02 00:00,开多,1.73,5780.346,9999.99858,7269.59,72.66,14099.04,140.92,-120.61,-1.21,2298.15,22.98
12,多头出场,2021-03-06 16:00,平多,12.08,2923.976,9999.99792,25298.97,252.86,43240.61,432.19,-34.24,-0.34,27597.12,275.97
12,多头进场,2021-01-23 08:00,开多,3.42,2923.976,9999.99792,25298.97,252.86,43240.61,432.19,-34.24,-0.34,27597.12,275.97
13,多头出场,2021-03-16 08:00,平多,13.5,733.675,9999.99025,-105.33,-1.05,2100.65,21.00,-467.22,-4.67,27491.79,274.92
13,多头进场,2021-03-07 16:00,开多,13.63,733.675,9999.99025,-105.33,-1.05,2100.65,21.00,-467.22,-4.67,27491.79,274.92
14,多头出场,2021-03-21 16:00,平多,13.73,698.812,9999.99972,-415.11,-4.15,463.2,4.63,-445.25,-4.45,27076.68,270.77
14,多头进场,2021-03-19 00:00,开多,14.31,698.812,9999.99972,-415.11,-4.15,463.2,4.63,-445.25,-4.45,27076.68,270.77
15,多头出场,2021-03-25 04:00,平多,13.6,697.35,9999.999,-525.78,-5.26,1564.04,15.63,-534.99,-5.35,26550.9,265.51
15,多头进场,2021-03-22 04:00,开多,14.34,697.35,9999.999,-525.78,-5.26,1564.04,15.63,-534.99,-5.35,26550.9,265.51
16,空头出场,2021-03-26 12:00,平空-EMA,14.01,762.776,9999.99336,-696.84,-6.96,612.85,6.13,-775.4,-7.75,25854.06,258.54
16,空头进场,2021-03-25 16:00,开空,13.11,762.776,9999.99336,-696.84,-6.96,612.85,6.13,-775.4,-7.75,25854.06,258.54
17,多头出场,2021-04-18 08:00,平多,22.02,623.83,9999.9949,3724.87,37.23,8666.24,86.62,-410.49,-4.10,29578.93,295.79
17,多头进场,2021-03-27 12:00,开多,16.03,623.83,9999.9949,3724.87,37.23,8666.24,86.62,-410.49,-4.10,29578.93,295.79
18,多头出场,2021-05-11 08:00,平多,40.4,367.107,9999.99468,4818.71,48.16,8346.69,83.43,-867.7,-8.67,34397.64,343.98
18,多头进场,2021-04-18 12:00,开多,27.24,367.107,9999.99468,4818.71,48.16,8346.69,83.43,-867.7,-8.67,34397.64,343.98
19,多头出场,2021-05-13 16:00,平多,41.58,224.517,9999.98718,-674.24,-6.74,1050.23,10.50,-1024.31,-10.24,33723.41,337.23
19,多头进场,2021-05-12 04:00,开多,44.54,224.517,9999.98718,-674.24,-6.74,1050.23,10.50,-1024.31,-10.24,33723.41,337.23
20,多头出场,2021-05-19 16:00,平多,43.97,210.039,9999.95679,-774.16,-7.74,2257.12,22.56,-1897.45,-18.97,32949.25,329.49
20,多头进场,2021-05-16 08:00,开多,47.61,210.039,9999.95679,-774.16,-7.74,2257.12,22.56,-1897.45,-18.97,32949.25,329.49
21,空头出场,2021-06-03 08:00,平空-EMA,35.53,284.495,9999.99925,-118.16,-1.18,4555.46,45.53,-909.69,-9.09,32831.08,328.31
21,空头进场,2021-05-22 12:00,开空,35.15,284.495,9999.99925,-118.16,-1.18,4555.46,45.53,-909.69,-9.09,32831.08,328.31
22,多头出场,2021-06-08 12:00,平多,36.8,259.807,9999.97143,-448.85,-4.49,1478.5,14.78,-1122.17,-11.22,32382.23,323.82
