交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,多头出场,2018-05-09 08:00,平多,0.3032,29676,9994.8768,-1006.61,-10.07,256.15,2.56,-1067.4,-10.67,-1006.61,-10.07
1,多头进场,2018-05-08 00:00,开多,0.3368,29676,9994.8768,-1006.61,-10.07,256.15,2.56,-1067.4,-10.67,-1006.61,-10.07
2,空头出场,2018-05-19 12:00,平空-止盈,0.2366,30868,8988.7616,1677.25,18.65,1872.28,20.82,-75.49,-0.84,670.64,6.71
2,空头进场,2018-05-11 04:00,开空,0.2912,30868,8988.7616,1677.25,18.65,1872.28,20.82,-75.49,-0.84,670.64,6.71
3,空头出场,2018-06-10 08:00,平空-止盈,0.1888,50787,10665.27,1066.56,10.00,1096.75,10.28,-594.46,-5.57,1737.19,17.37
3,空头进场,2018-06-04 16:00,开空,0.21,50787,10665.27,1066.56,10.00,1096.75,10.28,-594.46,-5.57,1737.19,17.37
4,空头出场,2018-07-15 20:00,平空-EMA,0.1439,83497,11731.3285,-295.76,-2.52,1538.83,13.11,-799.09,-6.81,1441.43,14.41
4,空头进场,2018-07-06 12:00,开空,0.1405,83497,11731.3285,-295.76,-2.52,1538.83,13.11,-799.09,-6.81,1441.43,14.41
5,多头出场,2018-07-28 20:00,平多,0.1608,75185,11435.6385,642.35,5.61,3370.09,29.46,-178.64,-1.56,2083.78,20.84
5,多头进场,2018-07-16 16:00,开多,0.1521,75185,11435.6385,642.35,5.61,3370.09,29.46,-178.64,-1.56,2083.78,20.84
6,空头出场,2018-08-02 16:00,平空-止盈,0.1339,78426,12077.604,1565.07,12.95,1617.38,13.38,-147.21,-1.22,3648.85,36.49
6,空头进场,2018-07-31 00:00,开空,0.154,78426,12077.604,1565.07,12.95,1617.38,13.38,-147.21,-1.22,3648.85,36.49
7,空头出场,2018-09-01 08:00,平空-EMA,0.1049,140061,13641.9414,-1064.62,-7.80,105.23,0.77,-1169.33,-8.57,2584.23,25.84
7,空头进场,2018-08-30 16:00,开空,0.0974,140061,13641.9414,-1064.62,-7.80,105.23,0.77,-1169.33,-8.57,2584.23,25.84
8,多头出场,2018-09-02 16:00,平多,0.1029,114657,12577.8729,-791.86,-6.29,5.18,0.04,-808.89,-6.43,1792.37,17.92
8,多头进场,2018-09-02 00:00,开多,0.1097,114657,12577.8729,-791.86,-6.29,5.18,0.04,-808.89,-6.43,1792.37,17.92
9,空头出场,2018-09-06 12:00,平空-止盈,0.0834,125254,11786.4014,1329.1,11.27,1647.46,13.97,-181.25,-1.54,3121.47,31.21
9,空头进场,2018-09-05 16:00,开空,0.0941,125254,11786.4014,1329.1,11.27,1647.46,13.97,-181.25,-1.54,3121.47,31.21
10,多头出场,2018-09-25 08:00,平多,0.0795,154293,13114.905,-861.3,-6.56,1366.65,10.42,-1318.05,-10.04,2260.17,22.60
10,多头进场,2018-09-21 12:00,开多,0.085,154293,13114.905,-861.3,-6.56,1366.65,10.42,-1318.05,-10.04,2260.17,22.60
11,多头出场,2018-10-03 08:00,平多,0.0792,139726,12253.9702,-1199.33,-9.78,161.54,1.32,-1333.52,-10.88,1060.84,10.61
11,多头进场,2018-09-28 00:00,开多,0.0877,139726,12253.9702,-1199.33,-9.78,161.54,1.32,-1333.52,-10.88,1060.84,10.61
12,多头出场,2018-10-11 08:00,平多,0.078,130677,11055.2742,-873.09,-7.89,556.38,5.03,-1090.15,-9.86,187.75,1.88
12,多头进场,2018-10-08 04:00,开多,0.0846,130677,11055.2742,-873.09,-7.89,556.38,5.03,-1090.15,-9.86,187.75,1.88
13,空头出场,2018-10-17 20:00,平空-EMA,0.0794,134869,10182.6095,-536.43,-5.27,844.58,8.29,-1286.35,-12.63,-348.69,-3.49
13,空头进场,2018-10-11 12:00,开空,0.0755,134869,10182.6095,-536.43,-5.27,844.58,8.29,-1286.35,-12.63,-348.69,-3.49
14,空头出场,2018-10-28 20:00,平空-止盈,0.073,126594,9646.4628,395.66,4.10,450.92,4.67,-371.95,-3.85,46.97,0.47
14,空头进场,2018-10-19 12:00,开空,0.0762,126594,9646.4628,395.66,4.10,450.92,4.67,-371.95,-3.85,46.97,0.47
15,多头出场,2018-11-09 20:00,平多,0.0751,130584,10041.9096,-244.98,-2.44,739.31,7.36,-370.66,-3.69,-198.01,-1.98
15,多头进场,2018-11-05 00:00,开多,0.0769,130584,10041.9096,-244.98,-2.44,739.31,7.36,-370.66,-3.69,-198.01,-1.98
16,空头出场,2018-11-15 16:00,平空-止盈,0.0612,135506,9797.0838,1495.07,15.25,1607.62,16.40,-86.2,-0.88,1297.07,12.97
16,空头进场,2018-11-14 16:00,开空,0.0723,135506,9797.0838,1495.07,15.25,1607.62,16.40,-86.2,-0.88,1297.07,12.97
17,多头出场,2018-12-20 04:00,平多,0.0337,306832,11291.4176,-962,-8.52,393.24,3.48,-956.82,-8.47,335.07,3.35
17,多头进场,2018-12-19 16:00,开多,0.0368,306832,11291.4176,-962,-8.52,393.24,3.48,-956.82,-8.47,335.07,3.35
18,多头出场,2018-12-28 00:00,平多,0.0362,269007,10329.8688,-601.85,-5.82,2846.31,27.54,-650.78,-6.30,-266.78,-2.67
18,多头进场,2018-12-21 00:00,开多,0.0384,269007,10329.8688,-601.85,-5.82,2846.31,27.54,-650.78,-6.30,-266.78,-2.67
19,多头出场,2019-01-11 00:00,平多,0.0432,236699,9728.3289,487.09,5.00,3072.22,31.56,-383.58,-3.94,220.31,2.20
19,多头进场,2018-12-29 04:00,开多,0.0411,236699,9728.3289,487.09,5.00,3072.22,31.56,-383.58,-3.94,220.31,2.20
20,空头出场,2019-01-15 00:00,平空-EMA,0.0434,259928,10215.1704,-1076.45,-10.53,98.86,0.97,-1200.78,-11.75,-856.14,-8.56
20,空头进场,2019-01-14 00:00,开空,0.0393,259928,10215.1704,-1076.45,-10.53,98.86,0.97,-1200.78,-11.75,-856.14,-8.56
21,多头出场,2019-01-20 20:00,平多,0.0424,201305,9139.247,-612.75,-6.70,96.08,1.05,-850.05,-9.30,-1468.89,-14.69
21,多头进场,2019-01-19 16:00,开多,0.0454,201305,9139.247,-612.75,-6.70,96.08,1.05,-850.05,-9.30,-1468.89,-14.69
22,空头出场,2019-01-28 16:00,平空-止盈,0.0379,205466,8526.839,731.52,8.57,817.6,9.58,-65.9,-0.77,-737.37,-7.37
