交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,多头出场,2017-09-08 20:00,平多,4348.65,2.10199,9994.96245,-863.71,-8.64,65.61,0.66,-1531.19,-15.31,-863.71,-8.64
1,多头进场,2017-09-07 20:00,开多,4755,2.10199,9994.96245,-863.71,-8.64,65.61,0.66,-1531.19,-15.31,-863.71,-8.64
2,空头出场,2017-09-12 12:00,平空-EMA,4361,2.28925,9131.703787,-861.27,-9.43,198.95,2.18,-933.18,-10.21,-1724.98,-17.25
2,空头进场,2017-09-10 12:00,开空,3988.95,2.28925,9131.703787,-861.27,-9.43,198.95,2.18,-933.18,-10.21,-1724.98,-17.25
3,空头出场,2017-09-15 16:00,平空-止盈,2919,2.10089,8270.867788,2131.17,25.75,2348.53,28.38,-122.12,-1.48,406.18,4.06
3,空头进场,2017-09-13 08:00,开空,3936.84,2.10089,8270.867788,2131.17,25.75,2348.53,28.38,-122.12,-1.48,406.18,4.06
4,多头出场,2017-11-11 00:00,平多,6526.31,2.55364,10400.97572,6251.34,60.07,9435.66,90.67,-314.17,-3.02,6657.52,66.58
4,多头进场,2017-09-27 16:00,开多,4073,2.55364,10400.97572,6251.34,60.07,9435.66,90.67,-314.17,-3.02,6657.52,66.58
5,空头出场,2017-11-13 20:00,平空-EMA,6589.99,2.79535,16649.16051,-1789.7,-10.74,1755.57,10.54,-2080.94,-12.49,4867.82,48.68
5,空头进场,2017-11-12 08:00,开空,5956.02,2.79535,16649.16051,-1789.7,-10.74,1755.57,10.54,-2080.94,-12.49,4867.82,48.68
6,多头出场,2017-12-21 20:00,平多,14400,2.12351,14860.32298,15695.5,105.57,27174.94,182.78,-7.43,-0.05,20563.32,205.63
6,多头进场,2017-11-15 16:00,开多,6998,2.12351,14860.32298,15695.5,105.57,27174.94,182.78,-7.43,-0.05,20563.32,205.63
7,空头出场,2017-12-26 12:00,平空-EMA,15063.02,2.40035,30547.93426,-5641.94,-18.46,4222.42,13.82,-6312.71,-20.65,14921.38,149.21
7,空头进场,2017-12-22 12:00,开空,12726.45,2.40035,30547.93426,-5641.94,-18.46,4222.42,13.82,-6312.71,-20.65,14921.38,149.21
8,空头出场,2018-01-03 00:00,平空-EMA,14732.75,1.89421,24908.8615,-3024.47,-12.14,2639.44,10.59,-4413.63,-17.71,11896.91,118.97
8,空头进场,2017-12-30 16:00,开空,13150,1.89421,24908.8615,-3024.47,-12.14,2639.44,10.59,-4413.63,-17.71,11896.91,118.97
9,多头出场,2018-01-08 20:00,平多,14299.98,1.36016,21885.91291,-2456.32,-11.22,1465.58,6.69,-4470.49,-20.42,9440.59,94.41
9,多头进场,2018-01-05 16:00,开多,16090.69,1.36016,21885.91291,-2456.32,-11.22,1465.58,6.69,-4470.49,-20.42,9440.59,94.41
10,空头出场,2018-02-01 20:00,平空-止盈,9339.87,1.50393,19430.7756,5367.53,27.61,5833.05,30.00,-2506.24,-12.89,14808.12,148.08
10,空头进场,2018-01-11 08:00,开空,12920,1.50393,19430.7756,5367.53,27.61,5833.05,30.00,-2506.24,-12.89,14808.12,148.08
11,多头出场,2018-02-22 20:00,平多,9980.98,2.45241,24795.70441,-342.89,-1.38,4096.03,16.51,-1103.11,-4.45,14465.23,144.65
11,多头进场,2018-02-16 00:00,开多,10110.75,2.45241,24795.70441,-342.89,-1.38,4096.03,16.51,-1103.11,-4.45,14465.23,144.65
12,空头出场,2018-02-26 20:00,平空-EMA,10260.92,2.60415,24452.9685,-2293.59,-9.37,287.77,1.18,-2496.59,-10.20,12171.64,121.72
12,空头进场,2018-02-25 20:00,开空,9390,2.60415,24452.9685,-2293.59,-9.37,287.77,1.18,-2496.59,-10.20,12171.64,121.72
13,多头出场,2018-03-07 12:00,平多,10510,2.09061,22160.466,-210.22,-0.95,2309.5,10.42,-763.7,-3.44,11961.42,119.61
13,多头进场,2018-02-27 12:00,开多,10600,2.09061,22160.466,-210.22,-0.95,2309.5,10.42,-763.7,-3.44,11961.42,119.61
14,空头出场,2018-03-18 08:00,平空-止盈,7666.35,2.22978,21950.35568,4836.56,22.02,5126.86,23.34,-666.22,-3.03,16797.98,167.98
14,空头进场,2018-03-08 00:00,开空,9844.18,2.22978,21950.35568,4836.56,22.02,5126.86,23.34,-666.22,-3.03,16797.98,167.98
15,多头出场,2018-05-09 08:00,平多,9032.08,3.48304,26784.5776,4645.4,17.33,8102.09,30.23,-528.88,-1.97,21443.37,214.43
