交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,空头出场,2017-09-28 00:00,平空-EMA,308.64,35.4432,9994.9824,-954.67,-9.55,1054.75,10.55,-975.79,-9.76,-954.67,-9.55
1,空头进场,2017-09-20 00:00,开空,282,35.4432,9994.9824,-954.67,-9.55,1054.75,10.55,-975.79,-9.76,-954.67,-9.55
2,空头出场,2017-09-30 08:00,平空-EMA,302.01,32.2885,9040.78,-720.07,-7.96,121.08,1.34,-746.19,-8.25,-1674.74,-16.75
2,空头进场,2017-09-29 08:00,开空,280,32.2885,9040.78,-720.07,-7.96,121.08,1.34,-746.19,-8.25,-1674.74,-16.75
3,空头出场,2017-10-06 12:00,平空-EMA,300.29,28.7221,8321.079591,-312.35,-3.75,115.9,1.39,-354.28,-4.26,-1987.09,-19.87
3,空头进场,2017-10-05 08:00,开空,289.71,28.7221,8321.079591,-312.35,-3.75,115.9,1.39,-354.28,-4.26,-1987.09,-19.87
4,多头出场,2017-10-09 20:00,平多,300.01,25.7686,8008.88088,-285.91,-3.57,194.41,2.43,-359.61,-4.49,-2273.01,-22.73
4,多头进场,2017-10-07 04:00,开多,310.8,25.7686,8008.88088,-285.91,-3.57,194.41,2.43,-359.61,-4.49,-2273.01,-22.73
5,空头出场,2017-10-10 20:00,平空-EMA,305.42,26.7922,7723.119572,-467.71,-6.05,0,0.00,-511.57,-6.62,-2740.71,-27.41
5,空头进场,2017-10-10 00:00,开空,288.26,26.7922,7723.119572,-467.71,-6.05,0,0.00,-511.57,-6.62,-2740.71,-27.41
6,多头出场,2017-10-18 08:00,平多,305.51,22.1209,7255.6552,-504.51,-6.95,571.52,7.87,-585.19,-8.06,-3245.22,-32.45
6,多头进场,2017-10-13 12:00,开多,328,22.1209,7255.6552,-504.51,-6.95,571.52,7.87,-585.19,-8.06,-3245.22,-32.45
7,空头出场,2017-10-24 16:00,平空-EMA,308.19,22.8489,6751.392972,-297.31,-4.40,528.55,7.82,-335.14,-4.96,-3542.53,-35.43
7,空头进场,2017-10-21 16:00,开空,295.48,22.8489,6751.392972,-297.31,-4.40,528.55,7.82,-335.14,-4.96,-3542.53,-35.43
8,空头出场,2017-10-29 16:00,平空-EMA,304.59,22.0296,6454.232208,-262.35,-4.06,60.22,0.93,-334.11,-5.17,-3804.87,-38.05
8,空头进场,2017-10-27 00:00,开空,292.98,22.0296,6454.232208,-262.35,-4.06,60.22,0.93,-334.11,-5.17,-3804.87,-38.05
9,空头出场,2017-11-04 04:00,平空-EMA,304.08,21.5742,6192.011142,-374.65,-6.05,261.84,4.23,-434.36,-7.01,-4179.52,-41.80
9,空头进场,2017-11-02 04:00,开空,287.01,21.5742,6192.011142,-374.65,-6.05,261.84,4.23,-434.36,-7.01,-4179.52,-41.80
10,空头出场,2017-11-09 00:00,平空-EMA,314.13,20.0453,5817.546966,-485.34,-8.34,59.43,1.02,-599.86,-10.31,-4664.86,-46.65
10,空头进场,2017-11-07 20:00,开空,290.22,20.0453,5817.546966,-485.34,-8.34,59.43,1.02,-599.86,-10.31,-4664.86,-46.65
11,多头出场,2017-11-10 20:00,平多,301,16.9392,5332.46016,-238.98,-4.48,237.87,4.46,-319.09,-5.98,-4903.84,-49.04
11,多头进场,2017-11-09 12:00,开多,314.8,16.9392,5332.46016,-238.98,-4.48,237.87,4.46,-319.09,-5.98,-4903.84,-49.04
12,多头出场,2018-01-17 08:00,平多,938.99,15.6131,5093.617744,9557.05,187.53,17386.7,341.17,-140.57,-2.76,4653.21,46.53
