交易 #,类型,日期/时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,最大交易获利 USDT,最大交易获利 %,交易亏损 USDT,交易亏损 %,累计P&L USDT,累计P&L %
1,多头出场,2020-09-04 04:00,平多,3.51,2302.995,9994.9983,-1920.53,-19.21,1399.83,14.00,-1985.57,-19.86,-1920.53,-19.21
1,多头进场,2020-08-31 08:00,开多,4.34,2302.995,9994.9983,-1920.53,-19.21,1399.83,14.00,-1985.57,-19.86,-1920.53,-19.21
2,空头出场,2020-09-09 20:00,平空-EMA,3.46,3256.224,8075.43552,-3200.77,-39.62,744.89,9.22,-4562.75,-56.47,-5121.3,-51.21
2,空头进场,2020-09-05 16:00,开空,2.48,3256.224,8075.43552,-3200.77,-39.62,744.89,9.22,-4562.75,-56.47,-5121.3,-51.21
3,空头出场,2020-09-25 00:00,平空-EMA,3.16,1664.254,4876.26422,-387.85,-7.95,946.19,19.39,-535,-10.97,-5509.14,-55.09
3,空头进场,2020-09-16 04:00,开空,2.93,1664.254,4876.26422,-387.85,-7.95,946.19,19.39,-535,-10.97,-5509.14,-55.09
4,空头出场,2020-10-04 20:00,平空-止盈,2.46,1553.153,4488.61217,663.7,14.78,727.74,16.20,-157.56,-3.51,-4845.44,-48.45
4,空头进场,2020-09-30 00:00,开空,2.89,1553.153,4488.61217,663.7,14.78,727.74,16.20,-157.56,-3.51,-4845.44,-48.45
5,多头出场,2020-11-13 00:00,平多,1.87,2711.57,5151.983,-86.46,-1.68,1624.37,31.51,-192.39,-3.73,-4931.9,-49.32
5,多头进场,2020-11-07 04:00,开多,1.9,2711.57,5151.983,-86.46,-1.68,1624.37,31.51,-192.39,-3.73,-4931.9,-49.32
6,多头出场,2020-11-26 08:00,平多,1.94,2412.175,5065.5675,-390.82,-7.71,986.46,19.46,-774.43,-15.28,-5322.72,-53.23
6,多头进场,2020-11-15 12:00,开多,2.1,2412.175,5065.5675,-390.82,-7.71,986.46,19.46,-774.43,-15.28,-5322.72,-53.23
7,空头出场,2020-12-01 12:00,平空-EMA,2.12,2554.613,4674.94179,-745.88,-15.95,278.67,5.96,-794.27,-16.98,-6068.6,-60.69
7,空头进场,2020-11-26 12:00,开空,1.83,2554.613,4674.94179,-745.88,-15.95,278.67,5.96,-794.27,-16.98,-6068.6,-60.69
8,多头出场,2020-12-04 08:00,平多,2.01,1802.492,3929.43256,-310.2,-7.89,88.16,2.24,-308.39,-7.84,-6378.8,-63.79
8,多头进场,2020-12-03 12:00,开多,2.18,1802.492,3929.43256,-310.2,-7.89,88.16,2.24,-308.39,-7.84,-6378.8,-63.79
9,空头出场,2020-12-09 12:00,平空-止盈,1.55,1956.425,3619.38625,583.6,16.12,585.12,16.16,-275.71,-7.61,-5795.2,-57.95
9,空头进场,2020-12-05 04:00,开空,1.85,1956.425,3619.38625,583.6,16.12,585.12,16.16,-275.71,-7.61,-5795.2,-57.95
10,空头出场,2020-12-23 16:00,平空-止盈,1.32,2562.62,4202.6968,816.25,19.41,894.82,21.28,-335.24,-7.97,-4978.95,-49.79
10,空头进场,2020-12-18 20:00,开空,1.64,2562.62,4202.6968,816.25,19.41,894.82,21.28,-335.24,-7.97,-4978.95,-49.79
11,多头出场,2021-01-22 04:00,平多,2.99,2900.887,5018.53451,3648.27,72.66,7075.66,140.92,-60.53,-1.21,-1330.68,-13.31
11,多头进场,2021-01-02 00:00,开多,1.73,2900.887,5018.53451,3648.27,72.66,7075.66,140.92,-60.53,-1.21,-1330.68,-13.31
12,多头出场,2021-03-06 16:00,平多,12.08,2533.62,8664.9804,21921.51,252.86,37467.91,432.19,-29.67,-0.34,20590.83,205.91
12,多头进场,2021-01-23 08:00,开多,3.42,2533.62,8664.9804,21921.51,252.86,37467.91,432.19,-29.67,-0.34,20590.83,205.91
13,多头出场,2021-03-16 08:00,平多,13.5,2243.253,30575.53839,-322.05,-1.05,6422.85,21.00,-1428.54,-4.67,20268.78,202.69
13,多头进场,2021-03-07 16:00,开多,13.63,2243.253,30575.53839,-322.05,-1.05,6422.85,21.00,-1428.54,-4.67,20268.78,202.69
14,多头出场,2021-03-21 16:00,平多,13.73,2114.161,30253.64391,-1255.85,-4.15,1401.36,4.63,-1347.05,-4.45,19012.92,190.13
14,多头进场,2021-03-19 00:00,开多,14.31,2114.161,30253.64391,-1255.85,-4.15,1401.36,4.63,-1347.05,-4.45,19012.92,190.13
15,多头出场,2021-03-25 04:00,平多,13.6,2022.205,28998.4197,-1524.68,-5.26,4535.46,15.63,-1551.37,-5.35,17488.24,174.88
15,多头进场,2021-03-22 04:00,开多,14.34,2022.205,28998.4197,-1524.68,-5.26,4535.46,15.63,-1551.37,-5.35,17488.24,174.88
16,空头出场,2021-03-26 12:00,平空-EMA,14.01,2095.69,27474.4959,-1914.54,-6.96,1683.77,6.13,-2130.38,-7.75,15573.7,155.74
16,空头进场,2021-03-25 16:00,开空,13.11,2095.69,27474.4959,-1914.54,-6.96,1683.77,6.13,-2130.38,-7.75,15573.7,155.74
17,多头出场,2021-04-18 08:00,平多,22.02,1594.567,25560.90901,9521.12,37.23,22151.7,86.62,-1049.25,-4.10,25094.82,250.95
17,多头进场,2021-03-27 12:00,开多,16.03,1594.567,25560.90901,9521.12,37.23,22151.7,86.62,-1049.25,-4.10,25094.82,250.95
18,多头出场,2021-05-11 08:00,平多,40.4,1287.712,35077.27488,16902.74,48.16,29277.91,83.43,-3043.66,-8.67,41997.56,419.98
